,player,team,pos,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles
197,Desmond Clark,CHI,TE,49,24,282,11.8,1,14,1.6,18.8,49.0%,5.8,,,,0,,,,24,11.8,282,1,1
198,Josh Scobey,ARI,,21,18,191,10.6,0,8,1.5,15.9,85.7%,9.1,27,89,0,7,3.3,7.4,2.3,45,6.2,280,0,1
199,Eddie Berlin,TEN,,41,20,278,13.9,1,14,1.3,17.4,48.8%,6.8,,,,0,,,,20,13.9,278,1,0
200,Dominic Rhodes,IND,,4,2,24,12.0,0,1,0.1,1.5,50.0%,6.0,53,254,1,16,4.8,15.9,3.3,55,5.1,278,1,2
201,Ernest Wilford,JAX,,35,19,271,14.3,2,10,1.3,18.1,54.3%,7.7,,,,0,,,,19,14.3,271,2,0
202,Reggie Williams,JAX,WR,54,27,268,9.9,1,14,1.7,16.8,50.0%,5.0,,,,0,,,,27,9.9,268,1,1
203,Chad Lewis,PHI,TE,46,29,267,9.2,3,16,1.9,17.8,63.0%,5.8,,,,0,,,,29,9.2,267,3,0
204,Tai Streets,DET,WR,56,28,260,9.3,1,13,2.2,20.0,50.0%,4.6,,,,0,,,,28,9.3,260,1,0
205,Justin Griffith,ATL,FB,31,22,220,10.0,1,10,1.8,18.3,71.0%,7.1,9,39,0,2,4.3,3.3,0.8,31,8.4,259,1,0
206,Brian Finneran,ATL,,33,23,258,11.2,2,16,1.9,21.5,69.7%,7.8,,,,0,,,,23,11.2,258,2,1
207,Bernard Berrian,CHI,,44,15,225,15.0,2,8,0.9,14.1,34.1%,5.1,8,28,0,1,3.5,1.8,0.5,23,11.0,253,2,0
208,Aaron Shea,CLE,te,48,26,252,9.7,4,13,1.7,16.8,54.2%,5.3,,,,0,,,,26,9.7,252,4,0
209,Artose Pinner,DET,,11,11,72,6.5,0,1,1.2,8.0,100.0%,6.5,57,174,2,11,3.1,19.3,6.3,68,3.6,246,2,0
210,Terry Jackson,SFO,,30,21,139,6.6,0,5,1.3,8.7,70.0%,4.6,26,101,0,4,3.9,6.3,1.6,47,5.1,240,0,3
211,Itula Mili,SEA,,36,23,240,10.4,1,14,1.5,16.0,63.9%,6.7,,,,0,,,,23,10.4,240,1,0
212,William Henderson,GNB,FB,40,34,239,7.0,3,15,2.1,14.9,85.0%,6.0,,,,0,,,,34,7.0,239,3,0
213,Mack Strong,SEA,FB,31,21,99,4.7,0,8,1.3,6.2,67.7%,3.2,36,131,0,13,3.6,8.2,2.3,57,4.0,230,0,2
214,Alvis Whitted,OAK,wr,25,9,227,25.2,2,8,0.8,20.6,36.0%,9.1,,,,0,,,,9,25.2,227,2,0
215,Donovan McNabb,PHI,QB,0,0,0,,0,0,0.0,0.0,0.0%,,41,220,3,12,5.4,14.7,2.7,41,5.4,220,3,8
216,Daniel Wilcox,BAL,te,35,25,219,8.8,1,12,1.6,13.7,71.4%,6.3,,,,0,,,,25,8.8,219,1,1
217,Reggie Swinton,DET,,31,18,213,11.8,1,12,1.4,16.4,58.1%,6.9,1,3,0,0,3.0,0.2,0.1,19,11.4,216,1,1
218,Reno Mahe,PHI,,16,14,123,8.8,0,2,1.3,11.2,87.5%,7.7,23,91,0,6,4.0,8.3,2.1,37,5.8,214,0,1
219,Charles Lee,TAM,,22,15,207,13.8,0,10,2.1,29.6,68.2%,9.4,,,,0,,,,15,13.8,207,0,1
220,Bryan Gilmore,MIA,,34,15,206,13.7,1,12,0.9,12.9,44.1%,6.1,,,,0,,,,15,13.7,206,1,1
221,Tim Carter,NYG,,18,12,182,15.2,1,10,2.4,36.4,66.7%,10.1,2,23,0,1,11.5,4.6,0.4,14,14.6,205,1,0
222,Troy Fleming,TEN,,28,19,164,8.6,2,8,1.2,10.3,67.9%,5.9,7,40,0,2,5.7,2.5,0.4,26,7.8,204,2,0
